Frequency,File_1,File_2,File_3,File_4,File_5,File_6,File_7,File_8,File_9,File_10,File_11
113124722,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,-99.38,
115126949,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,-97.38,
117129176,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,-97.84,
119131403,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,-96.31,
121133630,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,-97.81,
123135857,-99.28,-99.28,-99.28,-99.28,-99.28,-99.28,-99.28,-99.28,-99.28,-99.28,
125138085,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,-97.25,
127140312,-98.75,-98.75,-98.75,-98.75,-98.75,-98.75,-98.75,-98.75,-98.75,-98.75,
129142539,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,-98.22,
131144766,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,-96.72,
133146993,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,-98.19,
135149220,-98.66,-98.66,-98.66,-98.66,-98.66,-98.66,-98.66,-98.66,-98.66,-98.66,
137151448,-99.16,-99.16,-99.16,-99.16,-99.16,-99.16,-99.16,-99.16,-99.16,-99.16,
139153675,-96.62,-96.62,-96.62,-96.62,-96.62,-96.62,-96.62,-96.62,-96.62,-96.62,
141155902,-98.62,-98.62,-98.62,-98.62,-98.62,-98.62,-98.62,-98.62,-98.62,-98.62,
143158129,-95.09,-95.09,-95.09,-95.09,-95.09,-95.09,-95.09,-95.09,-95.09,-95.09,
145160356,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,-96.56,
147162584,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,-98.06,
149164811,-97.53,-97.53,-97.53,-97.53,-97.53,-97.53,-97.53,-97.53,-97.53,-97.53,
151167038,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0,-98.0,
153169265,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,-97.47,
